productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode
"Just Mademoiselle Bag Quilted Lizard Small Item Number: 48214/76"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48214-76_20Chanel_20Just_20Mademoiselle_20Bag_20Quilted_20Liza_2D_0002_grande.jpg?v=1575952985"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1095"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-just-mademoiselle-bag-quilted-lizard-small4821476?variant=31074855452742""
            }}
</script>
",Chanel,"
            $1,095
        ",/collections/chanel/products/handbags-chanel-just-mademoiselle-bag-quilted-lizard-small4821476,Very good,". Wear on base corners and opening trims, scuffs in interior scratches on hardware.",,,,No Accessories,,"Handle Drop 8&quot;, Height 5.5&quot;, Width 12.5&quot;, Depth 5.5&quot;, Strap Drop 15&quot;",48214/76,
"Cosmetic Case Quilted Calfskin Small Item Number: 48280/20"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48280-20_20Chanel_20Cosmetic_20Case_20Quilted_20Calfskin_20Sma_2D_0002_grande.jpg?v=1575952986"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1555"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-cosmetic-case-quilted-calfskin-small4828020?variant=31074856271942""
            }}
</script>
",Chanel,"
            $1,555
        ",/collections/chanel/products/handbags-chanel-cosmetic-case-quilted-calfskin-small4828020,Excellent,". Small indentations on base, glue stains underneath flap, scratches on hardware.",,,,"Box, Authenticity Card",,"Handle Drop 2.5&quot;, Height 7&quot;, Width 9.5&quot;, Depth 4.5&quot;",48280/20,
Lady Pearly Flap Bag Aged Quilted Calfskin Medium,Chanel,"
            $1,790
        ",/collections/chanel/products/handbags-chanel-lady-pearly-flap-bag-aged-quilted-calfskin-medium499282,Very good,". Creasing on base, bubbling and wear underneath flap, minor wear in interior, scratches on hardware.","Gray, Metallic, Multicolor, Purple",Leather,Gun Metal,Authenticity Card,16915770,"Handle Drop 11&quot;, Height 9.5&quot;, Width 12&quot;, Depth 4.5&quot;, Strap Drop 19.5&quot;",49928/2,HB.CH.LPFLBG.AQC.ME 
Reissue Wallet on Chain Quilted Aged Calfskin,Chanel,"
            $1,455
        ",/collections/chanel/products/handbags-chanel-reissue-wallet-on-chain-quilted-aged-calfskin49134106,Excellent,". Minor wear on exterior and in interior, scratches on hardware.","Gold, Metallic",Leather,Gun Metal,No Accessories,11588021,"Height 5.5&quot;, Width 7.5&quot;, Depth 1&quot;, Strap Drop 24.5&quot;",49134/106,HB.CH.RSWC.QAC 
"Paris-Shanghai Pudong Clutch Strass Embellished Tweed Item Number: 48280/50"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48280-50_20Chanel_20Paris-Shanghai_20Pudong_20Clutch_20Stras_2D_0002_grande.jpg?v=1575952927"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1250"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-paris-shanghai-pudong-clutch-strass-embellished-tweed4828050?variant=31062411018310""
            }}
</script>
",Chanel,"
            $1,250
        ",/collections/chanel/products/handbags-chanel-paris-shanghai-pudong-clutch-strass-embellished-tweed4828050,Great,". Loose rhinestones on rear, scratches on hardware.",,,,No Accessories,,"Height 4.5&quot;, Width 11.5&quot;, Depth 2.5&quot;",48280/50,
North South Boy Flap Bag Quilted Caviar Small,Chanel,"
            $2,935
        ",/collections/chanel/products/handbags-chanel-north-south-boy-flap-bag-quilted-caviar-small499125,Excellent,". Minor wear on exterior and in interior, scratches and discoloration on hardware.",Pink,Leather,"Gold, Matte",Box,27035117,"Handle Drop 11.5&quot;, Height 8&quot;, Width 6.5&quot;, Depth 2&quot;, Strap Drop 20.5&quot;",49912/5,HB.CH.VTBY.QCA.SM 
CC Charm Chain Shopping Tote Quilted Calfskin XL,Chanel,"
            $1,990
        ",/collections/chanel/products/handbags-chanel-cc-charm-chain-shopping-tote-quilted-calfskin-xl4980536,Excellent,". Minor creasing and wear on base, scratches on hardware.",Neutral,Leather,Silver,No Accessories,22228805,"Handle Drop 3.5&quot;, Height 11.5&quot;, Width 12&quot;, Depth 7.5&quot;, Strap Drop 12.5&quot;",49805/36,HB.CH.CCSP.QLC.XL 
"New Bubble Tote Quilted Calfskin Large Item Number: 48082/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48082-1_20Chanel_20New_20Bubble_20Tote_20Quilted_20Calfskin_20La_2D_0002_grande.jpg?v=1575953002"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1600"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-new-bubble-tote-quilted-calfskin-large480821?variant=31074957262918""
            }}
</script>
",Chanel,"
            $1,600
        ",/collections/chanel/products/handbags-chanel-new-bubble-tote-quilted-calfskin-large480821,Fair,". Heavy loss of shape, moderate darkening and marks on exterior. Wear in interior, scratches on hardware.",,,,"Dust Bag, Charms, Authenticity Card",,"Height 11&quot;, Width 14&quot;, Depth 6&quot;, Strap Drop 11-20&quot;",48082/1,
Zip Around Wallet Quilted Coated Canvas Long,Chanel,"
            $555
        ",/collections/chanel/products/handbags-chanel-zip-around-wallet-quilted-coated-canvas-long4980517,Great,". Faint wear on exterior, small stains in interior, scratches on hardware.",Red,Patent Leather,Aged Silver,Authenticity Card,21261208,"Height 4&quot;, Width 7.5&quot;, Depth 1&quot;",49805/17,HB.CH.ZAWA.QUCC.LO 
CC Pocket Tote Quilted Calfskin Large,Chanel,"
            $1,305
        ",/collections/chanel/products/handbags-chanel-cc-pocket-tote-quilted-calfskin-large49134127,Fair,". Wear on base corners, creasing, scuffs and indentations on exterior, loss of shape on handles, pen marks in interior, scratches on hardware.",Neutral,Leather,Aged Silver,Authenticity Card,21013342,"Handle Drop 4&quot;, Height 12&quot;, Width 15.5&quot;, Depth 5&quot;, Strap Drop 9.5-17&quot;",49134/127,HB.CH.CCPT.QLC.LG 
"Weekender Bag Quilted Coated Canvas Horizontal Item Number: 48221/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48221-1_20Chanel_20Weekender_20Bag_20Quilted_20Coated_20Canvas_2D_0002_grande.jpg?v=1575952949"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1305"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-weekender-bag-quilted-coated-canvas-horizontal482211?variant=31062490546246""
            }}
</script>
",Chanel,"
            $1,305
        ",/collections/chanel/products/handbags-chanel-weekender-bag-quilted-coated-canvas-horizontal482211,Excellent,". Odor in interior. Minor wear on exterior and handles, small marks in interior, scratches on hardware.",,,,Authenticity Card,,"Handle Drop 6&quot;, Height 16.5&quot;, Width 20&quot;, Depth 8.5&quot;",48221/1,
North South Boy Flap Bag Quilted Calfskin Small,Chanel,"
            $2,885
        ",/collections/chanel/products/handbags-chanel-north-south-boy-flap-bag-quilted-calfskin-small4972415,Excellent,". Small indentations underneath flap, scratches on hardware.",Blue,Leather,"Gold, Matte",Authenticity Card,26938580,"Handle Drop 10.5&quot;, Height 8.5&quot;, Width 6&quot;, Depth 3&quot;, Strap Drop 20&quot;",49724/15,HB.CH.VTBY.QLC.SM 
Vintage Timeless Zip Tote Caviar Large,Chanel,"
            $2,305
        ",/collections/chanel/products/handbags-chanel-vintage-timeless-zip-tote-caviar-large5022773,Great,". Odor in interior. Small glue stains on opening corners, minimal wear in interior, scratches on hardware.",Green,Leather,Gold,Authenticity Card,5320712,"Handle Drop 13&quot;, Height 13&quot;, Width 16&quot;, Depth 7&quot;, Strap Drop 14&quot;",50227/73,HB.CH.VTZT.CAV.LG 
Vintage CC Camera Bag Leather Large,Chanel,"
            $1,135
        ",/collections/chanel/products/handbags-chanel-vintage-cc-camera-bag-leather-large5022728,Very good,". Minor wear on leather trims, moderate indentations and scuffs on exterior, scratches on hardware.",Black,Leather,Black,"Pochette, Authenticity Card",6822608,"Handle Drop 11.5&quot;, Height 8.5&quot;, Width 13&quot;, Depth 3&quot;",50227/28,HB.CH.VTCG.LE.LG 
Convertible Waist Bag Tweed with Quilted Leather,Chanel,"
            $2,150
        ",/collections/chanel/products/handbags-chanel-convertible-waist-bag-tweed-with-quilted-leather49743136,Excellent,". Light wear on exterior, slight creasing on exterior, scratches on hardware.","Multicolor, Pink","Leather, Tweed",Silver,"Dust Bag, With Strap",24122697,"Handle Drop 8&quot;, Height 6.5&quot;, Width 10&quot;, Depth 3&quot;, Strap Drop 18-19&quot;",49743/136,HB.CH.GCVF.TRDS 
"Chic Knit Tote Sheepskin and Wool Medium Item Number: 48214/128"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48214-128_20Chanel_20Chic_20Knit_20Tote_20Sheepskin_20and_20Wool_2D_0002_grande.jpg?v=1575952957"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1455"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-chic-knit-tote-sheepskin-and-wool-medium48214128?variant=31062526296134""
            }}
</script>
",Chanel,"
            $1,455
        ",/collections/chanel/products/handbags-chanel-chic-knit-tote-sheepskin-and-wool-medium48214128,Excellent,". Slight creasing on exterior, light wear on wool trims, scratches on hardware.",,,,Authenticity Card,,"Handle Drop 9&quot;, Height 10&quot;, Width 11.5&quot;, Depth 5&quot;",48214/128,
"Double Zip Clutch with Pearl Chain Quilted Lambskin Item Number: 49165/53"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49165-53_20Chanel_20Double_20Zip_20Clutch_20with_20Pearl_20Chain_2D_0002_grande.jpg?v=1575953127"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1565"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-double-zip-clutch-with-pearl-chain-quilted-lambskin4916553?variant=31172716167238""
            }}
</script>
",Chanel,"
            $1,565
        ",/collections/chanel/products/handbags-chanel-double-zip-clutch-with-pearl-chain-quilted-lambskin4916553,Very good,". Minor scuffs on exterior, wear on strap, moderate darkening and wear in interior, scratches on hardware.",,,,Authenticity Card,,"Height 3.5&quot;, Width 7&quot;, Depth 1.5&quot;, Strap Drop 23.5&quot;",49165/53,
Boy Shopping Tote Glazed Calfskin Small,Chanel,"
            $1,325
        ",/collections/chanel/products/handbags-chanel-boy-shopping-tote-glazed-calfskin-small499281,Good,". Heavy creasing and scuffs on exterior, wear on strap shoulder pad, small stain on opening trim, scratches on hardware.","Black, Multicolor, White",Leather,Aged Silver,Authenticity Card,15343200,"Handle Drop 9&quot;, Height 9&quot;, Width 12&quot;, Depth 6&quot;",49928/1,HB.CH.BYST.GZCF.SM 
"Scales Clutch Patent and Tweed Item Number: 48096/3"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48096-3_20Chanel_20Scales_20Clutch_20Patent_20and_20Tweed_2D_0002_grande.jpg?v=1575952964"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""605"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-scales-clutch-patent-and-tweed480963?variant=31062537273414""
            }}
</script>
",Chanel,"
            $605
        ",/collections/chanel/products/handbags-chanel-scales-clutch-patent-and-tweed480963,Good,". Heavy scuffs on exterior and underneath flap, creasing and wear in interior, scratches on hardware.",,,,No Accessories,,"Height 5.5&quot;, Width 15&quot;, Depth 1.5&quot;",48096/3,
Floral Eyelet Messenger Bag Embroidered Suede Mini,Chanel,"
            $915
        ",/collections/chanel/products/handbags-chanel-floral-eyelet-messenger-bag-embroidered-suede-mini5037820,Great,". Wear on exterior and in interior, scratches on hardware.",Green,Suede,Aged Silver,"Box, Authenticity Card",21042144,"Height 4.5&quot;, Width 6.5&quot;, Depth 2&quot;, Strap Drop 20-22&quot;",50378/20,HB.CH.FLEY.EBS.MI 
"Chocolate Bar CC Tote Quilted Leather North South Item Number: 49165/31"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49165-31_20Chanel_20Chocolate_20Bar_20CC_20Tote_20Quilted_20Leat_2D_0002_grande.jpg?v=1575953134"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""760"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-chocolate-bar-cc-tote-quilted-leather-north-south4916531?variant=31172775444550""
            }}
</script>
",Chanel,"
            $760
        ",/collections/chanel/products/handbags-chanel-chocolate-bar-cc-tote-quilted-leather-north-south4916531,Good,". Heavy wear on base and opening corners, small glue stain on front logo. Scuffs, marks and creasing on exterior and handles, scratches on hardware.",,,,No Accessories,,"Handle Drop 9&quot;, Height 11.5&quot;, Width 11&quot;, Depth 3&quot;",49165/31,
Medallion Tote Quilted Suede,Chanel,"
            $920
        ",/collections/chanel/products/handbags-chanel-medallion-tote-quilted-suede5002111,Good,". Heavy wear and pilling on exterior, minor scuffs in interior, loss of shape on handles, scratches on hardware.",Brown,Suede,Gold,Authenticity Card,5433363,"Handle Drop 6&quot;, Height 9.5&quot;, Width 12&quot;, Depth 6&quot;",50021/11,HB.CH.MT.QS 
"Reissue 2.55 Tote Sequins Medium Item Number: 47629/68"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47629-68_20Chanel_20Reissue_202.55_20Tote_20Sequins_20Medium_2D_0003_grande.jpg?v=1575953031"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1360"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-reissue-255-tote-sequins-medium4762968?variant=31089939152966""
            }}
</script>
",Chanel,"
            $1,360
        ",/collections/chanel/products/handbags-chanel-reissue-255-tote-sequins-medium4762968,Excellent,". Faint scuffs and creasing on base, light wear in interior, scratches on hardware.",,,,Authenticity Card,,"Handle Drop 7&quot;, Height 7.5&quot;, Width 10.5&quot;, Depth 2.5&quot;",47629/68,
Deauville Pouch Denim Large,Chanel,"
            $970
        ",/collections/chanel/products/handbags-chanel-deauville-pouch-denim-large5055469,Excellent,". Faint wear on exterior and in interior, scratches on hardware.",Blue,Denim,Silver,No Accessories,21881028,"Height 9&quot;, Width 13.5&quot;, Depth 0.5&quot;",50554/69,HB.CH.DVLP.DEN.LG 
Front Pocket Camera Bag Quilted Lambskin Medium,Chanel,"
            $1,890
        ",/collections/chanel/products/handbags-chanel-front-pocket-camera-bag-quilted-lambskin-medium5037057,Very good,". Moderate wear and discoloration on base corners, along opening and strap, scratches on hardware.",Red,Leather,Gold,Authenticity Card,18854977,"Handle Drop 10&quot;, Height 8&quot;, Width 11&quot;, Depth 4&quot;",50370/57,HB.CH.FPCB.QULA.ME 
