prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
HERMES Shoulder Bag Black Clemence,/collections/hermes/products/ao25809,"89,800",Circle:N ;Production in 1984,"W 11.4x H 10.2xD 0.4 ""

Shoulder Drop. 9.8- 18.5""","Black,Brown
/
Taurillon Clemence",Dust Bag,"There is sign of use overall.

Minor Scratches","There is sign of use overall.

Dirt",-,-,AO25809
HERMES KELLY 28 SELLIER 2way Hand Bag Black Lizard,/collections/hermes/products/ao25806,"1,680,000", Circle: H ; Production in 1978," W 11.4 x H 8.3 x D 4.5 ""  Handle Drop. 3.5 ""  Strap Drop. 17.3 """, Black / Lizard Skin," Cover of Key, Keys*2, Padlock, Shoulder Strap, Dust Bag", Good condition  Minor peeled, There is sign of use overall.  Scratches, -, -, AO25806
HERMES HAUT A COURROIES 40 Hand Tote Bag Natural Vache Liegee,/collections/hermes/products/ao25805,"458,000",Circle : O ; Production in 1985,"W 15.7x H 15.7x D 9.4""

Handle Drop. 6.2""","Natural
/
Vache Liegee","Keys*2, Cover of Key, Padlock","There is sign of use overall.

There's a lot of mold

Crack and Scratch.","There is sign of use overall.

Mold,Scratches",-,-,AO25805
HERMES HAUT A COURROIES 32 Hand Bag Natural Pig,/collections/hermes/products/ao25774,"698,000",Square D: Production in 2000,"W 12.5x H 8.2x D 5.9 ""

Handle Drop. 3.5 ""","Natural
/
Pig Leather","Cover of Keys, Keys*2, Padlock, Dust Bag",There is sign of use overall.,There is sign of use overall.,-,-,AO25774
HERMES JIGE PM Clutch Hand Bag Toile H Couchevel Ivory Blue,/collections/hermes/products/ao25780,"148,000",Square: A ; Production in 1997,"W 11.4 x H 7.4 x D 0.7 ""","Beige
/
Toile H, Veau Greine Couchevel",-,"Good condition

Minor Dirt","Good condition

Discoloration(Adhesive)",-,-,AO25780
HERMES KELLY SPORT GM Shoulder Bag Brown Ardennes,/collections/hermes/products/ao25779,"698,000",Circle: W;Production in 1993,"W 11.4 x H 12.2 x D 4.7 ""

Strap Drop. 14.2 - 15.7 ""","Brown
/
Ardennes Leather","Dust Bag,Box",Good condition,Good condition,-,-,AO25779
HERMES CONSTANCE Shoulder Bag Black Ostrich,/collections/hermes/products/ao25777,"898,000",Circle: P ; Production in 1986,"W 9.1 "" x H 7.1 "" x D 1.8 ""

Strap Drop. 8.3 or 14.2 ""","Black
/
Ostrich Leather",Dust Bag,"Good condition

Metal fittings: scratches","There is sign of use overall.

scratches",-,-,AO25777
HERMES KELLY 32 2way Hand Bag Brown Taurillon Clemence,/collections/hermes/products/ao25775,"598,000",Square:C ;Production in 1999,"W 12.8 "" x H 9.3 "" x D 4.7 ""

Handle Drop. 3.1 ""

Strap Drop. 17.3 ""","Brown
/
Taurillon Clemence","Padlock, Keys x2, Cover of Keys, Dust Bag","There is sign of use overall.

Leather has scratches.

Handle roots is scuff.","Good condition

Flap has scuff.

Side has mold.",-,-,AO25775
HERMES Vintage Hand Bag Black Crocodile,/collections/hermes/products/ao25773,"328,000",CR 20,"W 9.0 "" x H 5.5 "" x D 2.3 ""

Handle Drop. 4.7 ""","Black
/
Crocodile skin",Dust Bag,There is sign of use overall.,There is sign of use overall.,-,-,AO25773
HERMES VICTORIA 43 Travel Hand Bag Beige Red Toile H Taurillon Clemence,/collections/hermes/products/ao25559,"118,000",-,"W 17.3 x H 9.8 x D 7.9 ""

Handle Drop. 6.3 ""","Beige, Red
/
Coated Toile H, Taurillon Clemence","Name tag, Key x2, Key cover

***Padlock is NOT attached.***",Good condition,Good condition,-,-,AO25559
HERMES PIANO DUO 2way Clutch Hand Bag Brown Veau Velour Doblis,/collections/hermes/products/ao25555,"298,000",Square:M ;Production in 2009,"W 10.2 x H 5.5 x D 1.6 ""

Handle Drop. 7.5 ""","Brown
/
Veau Velour Doblis","Box, Dust bag",Good condition,Good condition,-,-,AO25555
HERMES PIANO Hand Bag Black Crocodile Skin Porosus,/collections/hermes/products/ao25554,"798,000",Square: W ; Production in 1993,"W 10.0 x H 6.4 x D 2.8 ""

Handle Drop. 4.7 ""","Black
/
Porosus crocodile skin",Dust Bag,Excellent condition,"There is sign of use overall.

Scratches, Dirt",-,-,AO25554
HERMES BIRKIN 35 Hand Bag Gold Taurillon Clemence,/collections/hermes/products/ao25552,"980,000",Square: M ;Production in 2009,"W 13.8 x H 10.2 x D 7.1 ""

Handle Drop. 4.0 ""","Gold(Brown)
/
Taurillon Clemence","Padlock, Keys*2, Cover of Key, Rain Cover, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO25552
HERMES KELLY CUT Clutch Hand Bag Veau Swift Etoupe,/collections/hermes/products/ao25551,"958,000",Square:K ;Production in 2007,"W 13.4 x H 6.5 x D 0.8 ""

Handle Drop. 0.8 ""","Etoupe
/
Veau swift",Dust bag,Excellent condition,Excellent condition,-,-,AO25551
HERMES KELLY 28 SELLIER 2way Hand Bag Blue Veau Greine Couchevel,/collections/hermes/products/ao25549,"798,000",Circle: W ; Production in 1993,"W 11.4 x H 8.7 x D 4.5 ""

Handle Drop. 3.5 ""

Strap Drop. 17.3 ""","Blue
/
Veau Greine Couchevel","Padlock, Key x2, Key cover, Shoulder strap, Dust bag","Good condition

There is overall rubbing and fading.",Good condition,-,-,AO25549
HERMES VASCO Vintage Hand Bag Box Calf Black,/collections/hermes/products/ao25547,"198,000",Circle:B ;Production in 1972,"W 9.6 x H 7.7 x D 2.0 ""

Handle Drop. 5.5 ""","Black
/
Box calf",Dust bag,"Good condition

Metal fittings has discoloration.",Good condition,-,-,AO25547
HERMES Liddy 2way Clutch Shoulder Bag Burgundy Box Calf,/collections/hermes/products/ao25528,"268,000",Circle:I ;Production in 1979,"W 10.2 x H 6.7 x D 1.2 ""

Strap Drop. 15.0 ""","Burgundy
/
Box Calf",Dust Bag,"Good condition

Scratches","There is sign of use overall.

Scratches",-,-,AO25528
HERMES CONSTANCE 23 Shoulder Bag Burgundy Box Calf,/collections/hermes/products/ao25526,"698,000",Circle: L ; Production in 1982,"W 9.1 "" x H 7.1 "" x D 1.8 ""

Strap Drop. 8.3 or 15.0 ""","Burgundy
/
Box Calf",-,"Good condition

There is peeling of paint on the front bracket.

Scratch","There is sign of use overall.

Scratch",-,-,AO25526
HERMES KELLY 28 SELLIER 2way Hand Bag Gold Veau Greine Couchevel,/collections/hermes/products/ao25525,"980,000",Circle: Z ; Production in 1996,"W 11.4 x H 8.7 x D 4.5 ""

Handle Drop. 3.5 ""

Strap Drop. 17.3 ""","Gold
/
Veau Greine Couchevel","Cover of Key, Keys*2, Padlock, Shoulder Strap, Dust Bag, Rain protection","Good condition

There are scratches and dirt on the bottom edge.","Good condition

There is little pen dirt.",-,-,AO25525
HERMES HAUT A COURROIES 32 Hand Bag Vachette crispe fjord Black,/collections/hermes/products/ao25462,"958,000",Square:J ;Production in 2006,"W 13.0 x H 11.0 x D 6.3 ""

Handle Drop. 2.8 ""","Black
/
Vachette crispe fjord","Dust bag, Padlock, Key x2, Key cover",Excellent condition,Excellent condition,-,-,AO25462
HERMES KELLY 50 RETOURNE Travel Hand Bag Vache liegee Black,/collections/hermes/products/ao25465,"798,000",Square:L ;Production in 2008,"W 19.7 x H 15.0 x D 9.4 ""

Handle Drop. 4.3 ""","Black
/
Vache liegee","Key x2, Key cover

***Padlock is NOT attached.***",Good condition,"There is sign of use overall.

The bottom is wavy.",-,-,AO25465
HERMES KELLY 32 RETOURNE 2way Hand Bag Black Togo,/collections/hermes/products/ao25464,"1,080,000",Square : E ;Production in 2001,"W 12.2 x H 9.1 x D 4.3 ""

Handle Drop. 3.5 ""

Strap Drop. 16.1 ""","Black
/
Veau Crispe Togo","Cover of Key, Keys*2, Padlock, Shoulder Strap, Dust Bag",Excellent condition,Excellent condition,-,-,AO25464
HERMES KELLY 32 RETOURNE 2WAY Hand Bag Vibrato Box Calf Potiron Orange,/collections/hermes/products/ao25463,"1,080,000",Square : I ; Production in 2005,"W 12.2 x H 9.1 x D 4.3 ""

Handle Drop. 3.5 ""

Strap Drop. 16.1 ""","Potiron Orange, etc
/
Vibrato, Box Calf","Cover of Key, Keys*2, Padlock, Shoulder Strap, Rain Cover, Dust Bag","Excellent condition

Minor Scratches

Corners: Minor scuff","Excellent condition

Minor Scratches",-,-,AO25463
HERMES JIGE PM H Logos Clutch Hand Bag Bi-Color Veau Swift Box Calf,/collections/hermes/products/ao25213,"148,000", Square: L ; Production in 2008," W 11.4 x H 7.9 x D 1.2 """," Brown, Yellow / Charmonix Claf Leather", -, There is sign of use overall.  scratches, Good condition, -, -, AO25213
HERMES KELLY 32 RETOURNE 2way Hand Bag Rouge H Togo,/collections/hermes/products/ao25294,"898,000",Square: G ; Production in 2003,"W 12.6 x H 9.4 x D 4.3 ""

Handle Drop. 3.5 ""

Strap Drop. 17.3 ""","Rouge H
/
Veau Crispe Togo","Cover of Key, Keys*2, Padlock, Shoulder Strap, Dust Bag",Good condition,Good condition,-,-,AO25294
HERMES BIRKIN 35 Hand Bag Iris Traurillon Clemence,/collections/hermes/products/ao25295,"898,000",Square: N ; Production in 2010,"W 13.8 x H 10.2 x D 7.1 ""

Handle Drop. 3.9 ""","Iris
/
Traurillon Clemence","Keys*2, Padlock, Dust Bag",Good condition,Good condition,-,-,AO25295
HERMES 1994's Vintage Hand Bag Black Box Calf,/collections/hermes/products/ao25182,"398,000",Circle: X ; Production in 1994,"W 8.7 x H 6.9 x D 3.1 ""

Handle Drop. 4.7 ""","Black, Gold
/
Box Calf",Dust Bag,Good condition,"There is sign of use overall.

scratches",-,-,AO25182
HERMES Passe Guide Shoulder Bag Black Box Calf,/collections/hermes/products/ao25188,"898,000",Circle : R ;Production in 1988,"W 8.7 x H 7.5 x D 3.1 ""

Strap Drop. 16.5 ""","Black
/
Box Calf",-,"Good condition

minor scratches","Good condition

Scratch",-,-,AO25188
HERMES EVELYNE PM Shoulder Bag Brown Vibrato Veau Swift,/collections/hermes/products/ao25050,"268,000",Square: F ;Production in 2002,"W 11.4 "" x H 10.6 "" x D 3.1 ""

Strap Drop. 20.1 ""","Dark Brown, etc
/
Vibrato, Veau Swift","Dust Bag, Box","Good condition

Veau swift: scratches.

The movement of the metal fittings of the shoulder strap is a little bad.",Excellent condition,-,-,AO25050
HERMES Passe Guide Shoulder Bag Rouge H Box Calf,/collections/hermes/products/ao25054,"498,000",Circle : E ;Production in 1975,"W 8.7 x H 7.5 x D 3.1 ""

Strap Drop. 14.2 ""","Rouge H
/
Box Calf",-,"There is sign of use overall.

Box calf: scratches and crack.

Metal fittings: scratches and discoloration","There is sign of use overall.

scratches and pen mark",-,-,AO25054
HERMES EVELYNE PM Shoulder Bag Red Vibrato Veau Crispe Togo,/collections/hermes/products/ao25051,"268,000",Square: H ;Production in 2004,"W 11.4 "" x H 10.6 "" x D 3.1 ""

Strap Drop. 20.1 ""","Red, etc
/
Vibrato, Veau Crispe Togo",-,"Good condition

Button: discoloration","Good condition

Scratch",-,-,AO25051
HERMES Aline MM Shoulder Bag Navy,/collections/hermes/products/ao25049,"128,000",T ; Production in 2015,"W 11.8 x H 13.4 x D 0.2 ""

Strap Drop. 14.2 ""","Navy, Red, Brown
/
100% Cotton, Leather",Dust Bag,There is sign of use overall.,Good condition,-,-,AO25049
HERMES CONSTANCE Shoulder Bag Brown Ostrich,/collections/hermes/products/ao24982,"698,000",Circle: U ; Production in 1991,"W 9.1 "" x H 7.1 "" x D 1.8 ""

Strap Drop. 8.3 or 14.2 ""","Brown
/
Ostrich Leather","Manual, Box","Good condition

Metal fittings: scratches","There is sign of use overall.

scratches, stain and mold stain",-,-,AO24982
HERMES Piano Hand Bag Raisin Box Calf,/collections/hermes/products/ao24983,"298,000",Square: F ; Production in 2002,"W 10.0 x H 6.4 x D 2.8 ""

Handle Drop. 4.7 ""","Raisin
/
Box Calf","Dust Bag, Box","Excellent condition

minor scratches",Excellent condition,-,-,AO24983
HERMES Vintage Hand Bag Purse Black Gold Box Calf,/collections/hermes/products/ao24784,"168,000",Circle O; Production in 1985,"W 10.6 x H 5.9 x D 2.8 ""

Handle Drop. 5.5 ""","Black
/
Box Calf",-,AO24784,Good condition,"There is sign of use overall.

Scratches, Mold.

Pocket has Scratches, Mold.",-,AO24784
HERMES KELLY DEPECHE 38 Business Bag Brown Veau Greine Couchevel,/collections/hermes/products/ao24616,"368,000",Square: D ; Production in 2000,"W 15.0 x H 11.8 x D 4.3 ""

Strap Drop. 2.0 ""","Brown
/
Veau Greine Couchevel","Cover of Key, Keys*2, Padlock",AO24616,Good condition,There is sign of use overall.,-,AO24616
HERMES 1994's Vintage Travel Hand Bag Red Veau Greine Couchevel,/collections/hermes/products/ao24614,"248,000",Circle : X ;Production in 1994,"W 19.7 x H 15.4 x D 8.3 ""

Handle Drop. 3.9 ""","Red
/
Veau Greine Couchevel",-,AO24614,"There is sign of use overall.

Scratch",Good condition,-,AO24614
HERMES HERBAG ZIP 31 2 in 1 2way Hand Bag Black Toile Militaire,/collections/hermes/products/ao24567,"348,000", T ; Production in 2015," W 12.2 x H 10.2 x D 4.3 ""  Handle Drop. 2.4 ""  Strap Drop. 18.1 """," Black / Toile Militaire, Leather"," Cover of Key, Keys*2, Padlock, Manual, Pouch, Dust Bag, Box", AO24567, Excellent condition, Excellent condition, -, AO24567
HERMES BIRKIN 35 Hand Bag Dark Brown Traurillon Clemence,/collections/hermes/products/ao24448,"728,000",Square: N ; Production in 2010,"W 13.8 x H 10.2 x D 7.1 ""

Handle Drop. 3.9 ""","Dark Brown
/
Traurillon Clemence","Cover of Key, Keys*2, Padlock",AO24448,Good condition,"Good condition

Pocket has dirt",-,AO24448
HERMES BIRKIN 35 Hand Bag Dark Brown Veau Crispe Togo,/collections/hermes/products/ao24447,"898,000",Square: L ; Production in 2008,"W 13.8 x H 10.2 x D 7.1 ""

Handle Drop. 3.9 ""","Dark Brown
/
Veau Crispe Togo","Cover of Key, Keys*2( No Padlock), Dust Bag",AO24447,Excellent condition,Good condition,-,AO24447
HERMES KELLY ADO GM Backpack Bag Brown Veau Gulliver,/collections/hermes/products/ao24446,"598,000", Square: B ; Production in 1998," W 10.2 x H 11.4 x D 4.3 ""  Handle Drop. 1.6 ""  Strap total length. 17.3 - 31.9 """," Brown /



Veau Gulliver",Veau Gulliver, AO24446, Good condition, Good condition, -, Dust Bag
HERMES POCHETTE RIO H Logos Clutch Hand Bag Bordeaux Doblis,/collections/hermes/products/ao24321,"89,800",Square: F ; Production in 2002,"W 10.2 x H 5.5 x D 0.8 ""","Bordeaux
/
Doblis",-,AO24321,There is sign of use overall.,"Good condition

Scratch",-,AO24321
HERMES Clutch Hand Bag Blue Gold Lizard,/collections/hermes/products/ao24320,"168,000",Circle: R ; Production in 1988,"W 10.0 × H 6.9 × D 1.6 ""","Blue, Gold
/
Lizard Leather",-,AO24320,"There is sign of use overall.

suntanned, scratches and minor peeled","There is sign of use overall.

scratches, stain and dirt",-,AO24320
HERMES WHITE BUS UP Hand Tote Bag Purple Chevre Coromandel,/collections/hermes/products/ao24319,"178,000",Square: F ;Production in 2002,"W 11.6 x H 14.4 x D 4.7 ""

Handle Drop. 4.7 ""","Purple
/
Chevre Coromandel",-,AO24319,Good condition,Good condition,-,AO24319
HERMES MANGEOIRE GM Hand Bag Blue Beige Taurillon Clemence,/collections/hermes/products/ao24318,"168,000", Square: I ; Production in 2005," W 6.7 x H 11.0 x D 7.1 ""  Handle Drop. 8.3 """," Blue, Beige / Taurillon Clemence", -, AO24318, Good condition  Handle: scuff and dirt, There is sign of use overall.  fuzz and stain, -, AO24318
HERMES BIRKIN 40 Hand Bag Brown Vachette Grainee Ardennes,/collections/hermes/products/ao24316,"658,000",Square: C ;Production in 1999,"W 15.7 x H 10.6 x D 8.3 ""

Handle Drop. 4.3 ""","Brown
/
Vachette Grainee Ardennes","Keys*2, Padlock, Cover of Key",AO24316,"Good condition

scratches",Good condition,-,AO24316
HERMES Kelly 40 Retourne Hand Bag Blue Traurillon Clemence,/collections/hermes/products/ao24313,"568,000",Square B; Production in 1998,"W 15.7 x H 11.0 x D 5.9 ""

Handle Drop. 3.5 ""","Blue
/
Traurillon Clemence","Cover of Key, Keys*2, Padlock",AO24313,"Good condition

Corner is minor scuff.","Good condition

Scratch",-,AO24313
HERMES KELLY 32 SELLIER 2way Hand Bag Red Veau Greine Couchevel,/collections/hermes/products/ao24312,"898,000",Square: D ; Production in 2000,"W 13.0 x H 9.4 x D 4.7 ""

Handle Drop. 3.5 ""

Strap Drop. 17.3 ""","Red
/
Veau Greine Couchevel","Shoulder Strap, Cover of Key, Keys*2, Padlock",AO24312,Good condition,Good condition,-,AO24312
HERMES FONSBELLE Shoulder Bag Black Lizard,/collections/hermes/products/ao24310,"428,000",Circle : R ; Production in 1988,"W 9.1 "" x H 7.1 "" x D 3.1 ""

Strap Drop. 8.3 or 16.1 ""","Black
/
Lizard Leather","Dust Bag, Box",AO24310,Good condition,"There is sign of use overall.

Scratch",-,AO24310
HERMES KELLY SPORT MM Shoulder Bag Brown Veau Greine Couchevel,/collections/hermes/products/ao24309,"498,000",Circle: Z ; Production in 1996,"W 9.4 x H 11.4 x D 4.3 ""

Strap Drop. 15.0 - 16.1 ""","Brown
/
Veau Greine Couchevel",-,AO24309,"There is sign of use overall.

Scratch","There is sign of use overall.

Leather part: Scratches",-,AO24309
HERMES KELLY 32 SELLIER 2way Hand Bag Purple Couchevel,/collections/hermes/products/ao24135,"898,000",Square: F ; Production in 2002,"W 13.0 x H 9.4 x D 4.7 ""

Handle Drop. 3.5 ""

Strap Drop. 17.3 ""","Purple
/
Veau Greine Couchevel","Shoulder Strap, Cover of Key, Keys*2, Padlock",AO24135,"Good condition

scratches",Good condition,-,AO24135
HERMES KELLY 32 RETOURNE 2way Hand Bag Blue Traurillon Clemence,/collections/hermes/products/ao24133,"970,000",Square : R ; Production in 2014,"W 12.6 x H 9.1 x D 4.7 ""

Handle Drop. 3.3 ""

Strap Drop. 16.9 ""","Light Blue
/
Taurillon Clamence","Cover of Key, Keys*2, Padlock, Shoulder Strap, Rain Cover, Dust Bag",AO24133,Good condition,"Good condition

Stain, Scratches",-,AO24133
HERMES KELLY 32 RETOURNE 2way Hand Bag Pink Taurillon Clamence,/collections/hermes/products/ao24132,"758,000",Square; M ; Production in 2009,"W 12.6 x H 9.1 x D 4.7 ""

Handle Drop. 3.1 ""

Strap Drop. 17.3 ""","Pink
/
Taurillon Clamence","Cover of Key, Keys*2, Padlock, Shoulder Strap, Dust Bag",AO24132,Good condition,Good condition,-,AO24132
HERMES BOLIDE ADO PM Backpack Hand Bag Green Traurillon Clemence,/collections/hermes/products/ao24035,"598,000",Square: K ; Production in 2007,"W 11.4 x H 9.4 x D 4.3 ""

Handle Drop. 2.0 ""

Strap total length. 19.7 - 38.2 ""","Green
/
Traurillon Clemence",-,AO24035,Good condition,"Good condition

scratches",-,AO24035
HERMES Sac A Malice Highway Shoulder Bag Pochette Green Couchevel,/collections/hermes/products/ao24034,"268,000",Circle: R ;Production in 1988,"W 9.3 x H 5.5 x D 2.2 ""

Strap Drop. 21.3 ""","Green, Black, White
/
Veau Greine Couchevel","Dust Bag, Box",AO24034,Good condition,"Good condition

scratches",-,AO24034
HERMES 1991's Napoleon Shoulder Bag Black Alligator Crocodile,/collections/hermes/products/ao24032,"398,000", Circle U ; Production in 1991," W 9.8 x H 5.5 x D 2.0 ""  Strap Drop. 16.9 """, Black / Alligator Crocodile Leather, -, AO24032, Good condition, There is sign of use overall.  Scratches., -, AO24032
HERMES Cavalier One Shoulder Bag Purse Ivory 100% Cotton,/collections/hermes/products/ao24031,"128,000",-,"W 11.8 x H 20.5 x D 7.9 ""

Strap total length. 31.1 ""","Ivory, Orange, Yellow, Navy
/
100% Cotton",-,AO24031,Good condition,Good condition,-,AO24031
HERMES VICTORIA 50 Travel Hand Bag Beige Brown Toile H Traurillon,/collections/hermes/products/ao24030,"108,000",-,"W 19.7 x H 11.0 x D 9.1 ""

Handle Drop. 7.1 ""","Beige, Brown
/
Toile H, Traurillon Clemence","Cover of Key, Keys*2, Padlock",AO24030,"There is sign of use overall.

Metal fittings and zipper rail: rust

dirt","There is sign of use overall.

dirt",-,AO24030
HERMES KELLY SPORT MM Shoulder Bag Red Veau Greine Couchevel,/collections/hermes/products/ao23959,"598,000",Square: D ; Production in 2000,"W 9.4 x H 11.4 x D 4.3 ""

Strap Drop. 16.1 - 17.3 ""","Red
/
Veau Greine Couchevel",Dust Bag,AO23959,"There is sign of use overall.

Strap: crack","Obvious sigh of use with heavy damages

Scratches and pen mark",-,AO23959
HERMES PLUME 20 Hand Bag Dark Brown Crocodile Niloticus,/collections/hermes/products/ao23841,"898,000", Square G; Production in 2003," W 7.9 x H 5.9 x D 3.1 ""  Handle Drop. 5.9 """, Dark Brown / Crocodile Niloticus," Dust Bag, Box", AO23841, Good condition, Good condition, -, AO23841
HERMES PILLOW MM Cross Body Shoulder Bag Black Traurillon,/collections/hermes/products/ao23838,"148,000",Square: E ;Production in 2001,"W 7.5 x H 11.8 x D 0.4 ""

Shoulder Drop. 18.9 ""","Black
/
Taurillon Clemence",-,AO23838,Good condition,Good condition,-,AO23838
HERMES TRIM 31 Shoulder Bag Black Veau Greine Couchevel,/collections/hermes/products/ao23837,"148,000",Square : F ;Production in 2002,"W 11.8 x H 8.3 x D 3.1 ""

Strap Drop. 10.6 - 11.0 ""","Black
/
Veau Greine Couchevel",-,AO23837,Good condition,Good condition,-,AO23837
HERMES KELLY SPORT GM Shoulder Bag Brown Veau Greine Couchevel,/collections/hermes/products/ao23834,"348,000",Circle: S ;Production in 1989,"W 11.8 x H 13.0 x D 4.7 ""

Strap Drop. 13.8 - 15.0 ""","Brown
/
Veau Greine Couchevel",-,AO23834,"Obvious sigh of use with heavy damages.

scratches and dirt

Metal fittings: rust and discoloration.(Bottom)","There is sign of use overall.

Pocket has stain",-,AO23834
HERMES BIRKIN 35 Hand Bag Black Veau Crispe Togo,/collections/hermes/products/ao23833,"798,000",Square: I; Production in 2005,"W 13.8 x H 10.2 x D 7.1 ""

Handle Drop. 4.7 ""","Black
/
Veau Crispe Togo",-,AO23833,Good condition,There is sign of use overall.,-,AO23833
HERMES BIRKIN 30 Hand Bag Red Veau Swift,/collections/hermes/products/ao23831,"898,000",Square: M ; Production in 2009,"W 11.8 x H 8.7 x D 6.3 ""

Handle Drop. 3.9 ""","Red
/
Veau Swift","Cover of Key, Keys*2, Padlock, Dust Bag",AO23831,"Good condition

Handle: minor peeled",Good condition,-,AO23831
HERMES KELLY 35 SELLIER Hand Bag Black Crocodile,/collections/hermes/products/ao23828,"798,000",-,"W 13.8 x H 9.8 x D 5.1 ""

Handle Drop. 3.9 ""","Black
/
Crocodile Leather","Padlock, Keys*2, Cover of Key(Torn), Dust Bag",AO23828,"Obvious sigh of use with heavy damages.

scratches and torn

Metal fittings: rust.","Obvious sigh of use with heavy damages.

scratches and torn",-,AO23828
