prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
CHANEL CC Logos Shoulder Tote Bag Purse Black,/collections/chanel/products/ao20424,"168,000",-,"W 9.4 x H 8.9 x D 5.1 ""

Strap Drop. 10.2 ""","Black
/
Caviar Skin Leather",-,AO20424,Good condition,Good condition,-,AO20424
CHANEL CC Drawstring Chain Mini Shoulder Bag Purse Navy,/collections/chanel/products/ao20422,"328,000",0839621,"W 5.1 x H 7.5 x D 3.5 ""

Strap Drop. 18.9 ""","Navy
/
Leather","Authenticity Seal, Pouch",AO20422,Good condition,Good condition,Smell of mold.,AO20422
CHANEL Quilted 2.55 Motif CC Waist Bum Bag Pouch Black,/collections/chanel/products/ao20419,"248,000",23848895,"W 7.1 x H 4.3 x D 2.4 ""

Belt Size. 28.9 - 35.4 ""","Black
/
Caviar Skin Leather",Authenticity Seal,AO20419,Good condition,Good condition,-,AO20419
CHANEL Quilted CC Logos Chain Backpack Bag Purse Black,/collections/chanel/products/ao20391,"398,000",Unclear due to deterioration.,"W 11.4 "" x H 8.5 "" x D 3.1 ""

Strap total length. 33.5 ""","Black
/
Leather",Authenticity Seal(Scuff),AO20391,Good condition,There is sign of use overall.,-,AO20391
CHANEL Quilted Classic Double Flap Small Shoulder Bag Caviar Black,/collections/chanel/products/ao20387,"598,000",7443915,"W 9.1 x H 5.5 x D 2.8 ""

Strap Drop.(Single) 17.3 ""

Strap Drop.(Double) 9.1 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Dust Bag",AO20387,Excellent condition,Excellent condition,-,AO20387
CHANEL Quilted Classic Flap Mini Square Shoulder Bag Black,/collections/chanel/products/ao20382,"348,000",0609289,"W 6.9 x H 5.5 x D 2.4 ""

Strap Drop. 20.9 ""","Black
/
Leather","Authenticity Seal, Dust Bag, Box",AO20382,Good condition,Good condition,-,AO20382
CHANEL Quilted Fringe CC Single Chain Shoulder Bag Purse Black,/collections/chanel/products/ao20380,"298,000",1979684,"W 7.1 x H 4.7 x D 2.8 ""

Strap Drop. 20.9 ""","Black
/
Leather","Authenticity Seal, Authenticity Card",AO20380,Good condition,Good condition,-,AO20380
CHANEL Quilted CC Single Chain Shoulder Bag Purse Black,/collections/chanel/products/ao20377,"348,000",1588829,"W 9.4 x H 5.9 x D 2.8 ""

Strap Drop. 20.5 ""","Black
/
Leather","Authenticity Seal, Authenticity Card, Dust Bag, Pouch",AO20377,Excellent condition,"Excellent condition

minor dirt",-,AO20377
CHANEL Quilted Classic Single Flap Small Shoulder Bag Black,/collections/chanel/products/ao20375,"228,000",-,"W 9.3 x H 5.7 x D 2.4 ""

Strap Drop. 15.4 ""","Black
/
Leather",Shop Seal,AO20375,Excellent condition,"Excellent condition

Message body inside was reupholstered to new leather by craftsmen of CHANEL.",-,AO20375
CHANEL Quilted Classic Flap Micro Shoulder Bag Black Satin,/collections/chanel/products/ao20371,"298,000",1875242,"W 5.5 x H 4.1 x D 1.2 ""

Strap Drop. 21.7 ""","Black
/
Satin","Authenticity Seal, Authenticity Card, Dust Bag, Box",AO20371,Excellent condition,Excellent condition,-,AO20371
CHANEL Quilted Classic Single Flap Small Shoulder Bag Black,/collections/chanel/products/ao20370,"268,000",1221267,"W 9.3 x H 5.7 x D 2.4 ""

Strap Drop. 20.5 ""","Black
/
Leather","Authenticity Seal, Box",AO20370,Good condition,"Good condition

minor crack",-,AO20370
CHANEL Quilted CC Shoulder Tote Bag Purse Orange Beige,/collections/chanel/products/ao20366,"59,800",5689056,"W 13.4 x H 9.8 x D 3.9 ""

Strap Drop. 9.1 ""","Orange, Beige
/
Vinyl",Authenticity Seal,AO20366,There is sign of use overall.,Good condition,-,AO20366
CHANEL Quilted Fringe CC Chain Waist Bum Bag Purse Red,/collections/chanel/products/ao20364,"368,000",1850566,"W 6.1 x H 5.1 x D 1.2 ""

Belt total length. 37.8 ""","Red
/
Wool, Leather","Authenticity Seal, Authenticity Card",AO20364,Good condition,Good condition,-,AO20364
CHANEL Mademoiselle Classic Single  Flap Medium Shoulder Bag Black,/collections/chanel/products/ao20363,"348,000",2567638,"W 9.8 x H 5.9 x D 2.6 ""

Strap Drop. 20.9 ""","Black
/
Leather",Authenticity Seal,AO20363,Excellent condition,Excellent condition,-,AO20363
CHANEL Nishijin-ori CC Waist Bum Bag Purse Gold,/collections/chanel/products/ao20362,"598,000",2361947,"W 5.9 x H 4.7 x D 1.4 ""

Belt Size. 29.9 - 32.3 ""","Gold
/
Leather",Authenticity Seal,AO20362,Good condition,Good condition,-,AO20362
CHANEL Choco Bar No.5 CC Shoulder Bag Purse Indigo Silver Denim,/collections/chanel/products/ao20361,"168,000",7474596,"W 10.2 x H 5.1 x D 1.6 ""

Strap Drop. 9.1 ""","Indigo, Silver, Red
/
Denim, Leather","Authenticity Seal, Authenticity Card, Manual",AO20361,Good condition,Good condition,-,AO20361
CHANEL Choco Bar CC Shoulder Bag Purse Bi-Color Beige Red,/collections/chanel/products/ao20359,"248,000",-,"W 10.2 x H 5.1 x D 1.6 ""

Strap Drop. 11.4 ""","Beige, Red
/
Leather, Patent Leather","Authenticity Seal(Peeled), Dust Bag",AO20359,Good condition,Good condition,-,AO20359
CHANEL Diana Quilted CC Single Chain Shoulder Bag Purse Black,/collections/chanel/products/ao20358,"298,000",2265476,"W 8.7 x H 5.7 x D 2.6 ""

Strap Drop. 19.7 ""","Black
/
Leather","Authenticity Seal, Dust Bag",AO20358,Good condition,Good condition,-,AO20358
CHANEL Triple CC Drawstring Chain Shoulder Bag Black Caviar Skin,/collections/chanel/products/ao20355,"348,000",3308898,"W 12.2 x H 11.8 x D 3.9 ""

Strap Drop. 18.1 ""","Black
/
Caviar Skin Leather","Authenticity Seal, Manual, Pouch, Dust Bag",AO20355,Good condition,Good condition,-,AO20355
CHANEL V Stitch CC Double Chain Shoulder Bag Ocher,/collections/chanel/products/ao20354,"168,000",1880405,"W 11.0 x H 7.9 x D 3.1 ""

Strap Drop.(Single) 22.0 ""

Strap Drop.(Double) 11.8 ""","Ocher
/
Wool","Authenticity Seal, Removable Pouch",AO20354,Good condition,Good condition,-,AO20354
CHANEL Wild Stitch Chain Shoulder Bag Black,/collections/chanel/products/ao20331,"228,000",7612858,"W 9.4 x H 6.1 x D 2.8 ""

Strap Drop. 10.6 """,Black/ Caviar Skin Leather,Authenticity Seal,Excellent condition,Excellent condition,-,-,AO20331
CHANEL Quilted Chain Shoulder Bag Bordeaux,/collections/chanel/products/ao20330,"128,000",-,"W 6.7 x H 5.5 x D 1.2 ""

Strap Drop.(Single) 18.1 ""

Strap Drop.(Double) 9.4 """,Bordeaux/ Leather,Dust Bag,There is sign of use overall,Good condition,-,Smell of mold,AO20330
CHANEL Quilted Chain Shoulder Bag Beige,/collections/chanel/products/ao20328,"328,000",1468190,"W 10.2 x H 7.1 x D 3.1 ""

Strap Drop. 19.3 """,Beige/ Leather,"Authenticity Seal, Coin Purse, Dust Bag",Good condition,Good condition,-,-,AO20328
CHANEL Quilted Bum Bag Black,/collections/chanel/products/ao20327,"368,000",1975430,"W 5.9 x H 5.1 x D 1.2 ""

Belt Size. 27.6 - 29.9 ""

#30/75",Black/ Leather,"Authenticity Seal, Authenticity Card",Good condition,Good condition,-,-,AO20327
CHANEL Quilted Round Fringe Shoulder Bag Gold,/collections/chanel/products/ao20298,"348,000",1988594,"W 5.3  x H 5.1  x D 1.6  ""

Strap Drop. 19.7  """,Gold/ Leather,"Authenticity Seal, Authenticity Card, Dust Bag",Excellent condition,Excellent condition,-,-,AO20298
CHANEL CC Logos Shoulder Tote Bag Black,/collections/chanel/products/ao20297,"168,000",5643236,"W 9.4  x H 8.3  x D 4.7  ""

Strap Drop. 10.6  """,Black/ Caviar Skin Leather,"Authenticity Seal, Dust Bag",Good condition,"Good condition

Metal fittings: discolour",-,-,AO20297
CHANEL Quilted Fringe Chain Bum Bag Red,/collections/chanel/products/ao20289,"428,000",1870779,"W 6.1 x H 5.1 x D 1.2 ""

Belt total length. 41.3 """,Red/ Leather,"Authenticity Seal, Authenticity Card, Dust Bag",Excellent condition,Excellent condition,-,-,AO20289
CHANEL Quilted Chain Mini Shoulder Bag Satin Black,/collections/chanel/products/ao20287,"59,800",-,"W 3.1 x H 3.3 x D 1.2 ""

Strap Drop. 13.0 """,Black/ Satin,-,Good condition,"Good condition

Crack",-,-,AO20287
CHANEL Quilted Classic Flap Micro Shoulder Bag Satin Black,/collections/chanel/products/ao20286,"298,000",1614202,"W 2.8 x H 2.6 x D 1.2 ""

Strap Drop. 19.7 ""","Black/ Satin, Leather",Authenticity Seal,Good condition,Good condition,-,-,AO20286
CHANEL Quilted Classic Flap Micro Shoulder Bag Gold,/collections/chanel/products/ao20284,"498,000",3717059,"W 5.1 x H 4.3 x D 2.4 ""

Strap Drop. 19.7 """,Gold/ Leather,"Authenticity Seal, Authenticity Card, Manual, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO20284
CHANEL Quilted Chain Shoulder Bag Black,/collections/chanel/products/ao20281,"268,000",8394523,"W 11.0 x H 8.3 x D 3.5 ""

Strap Drop. 15.4 """,Black/ Caviar Skin Leather,"Authenticity Seal, Authenticity Card, Dust Bag",Excellent condition,Excellent condition,-,-,AO20281
CHANEL Quilted Chain Shoulder Bag Black,/collections/chanel/products/ao20280,"248,000",1371716,"W 7.5 x H 4.3 x D 2.4 ""

Strap Drop. 20.1 ""","Black/ Cotton, Leather",Authenticity Seal,Excellent condition,Excellent condition,-,-,AO20280
CHANEL Quilted Classic Single Flap Small Shoulder Bag Black,/collections/chanel/products/ao20279,"268,000",1813769,"W 9.1 x H 5.5 x D 2.4 ""

Strap Drop. 20.9 """,Black/ Leather,"Authenticity Seal, Authenticity Card, Box",Good condition,Good condition,-,-,AO20279
CHANEL Quilted Classic Flap Mini Square Shoulder Bag Black,/collections/chanel/products/ao20278,"348,000",2751887,"W 6.9 x H 5.3 x D 2.4 ""

Strap Drop. 20.5 """,Black/ Leather,"Authenticity Seal, Authenticity Card, Box",Good condition,Good condition,-,-,AO20278
CHANEL Quilted Classic Flap Mini Square Shoulder Bag Gold,/collections/chanel/products/ao20277,"598,000",2640218,"W 6.9 x H 5.3 x D 2.4 ""

Strap Drop. 20.5 """,Gold/ Leather,"Authenticity Seal, Authenticity Card, Box",Good condition,"Good condition

Scratches",-,-,AO20277
CHANEL Quilted Waist Bum Bag Bi-Color,/collections/chanel/products/ao20275,"198,000",1747638,"W 7.5 x H 6.3 x D 1.6 ""

Belt Size. 24.8 - 29.5 ""

#30/75","Red, Navy/ Canvas, Leather",Authenticity Seal,"Good condition

Holes have been drilled in addition to the belt.",Good condition,-,-,AO20275
CHANEL Mademoiselle Classic Single  Flap Medium Shoulder Bag Black,/collections/chanel/products/ao20274,"368,000",2503940,"W 9.8 x H 5.9 x D 2.4 ""

Strap Drop. 20.5 """,Black/ Leather,"Authenticity Seal, Authenticity Card, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO20274
CHANEL Tortoiseshell Hand Tote Bag Black,/collections/chanel/products/ao20273,"168,000",6010746,"W 8.9 x H 11.0 x D 2.0 ""

Handle Drop. 3.5 ""","Black, Brown/ Caviar Skin Leather","Authenticity Seal, Authenticity Card",Good condition,Good condition,-,-,AO20273
CHANEL Diana Quilted Chain Shoulder Bag Navy,/collections/chanel/products/ao20267,"598,000",3284015,"W 9.8 x H 6.7 x D 2.8 ""

Strap Drop. 19.7 """,Navy/ Caviar Skin Leather,"Authenticity Seal, Shop Seal, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO20267
CHANEL Cambon Line Quilted Shoulder Bag Black,/collections/chanel/products/ao20249,"168,000",14121691,"W 11.0 x H 6.3 x D 3.9 ""
Strap Drop. 9.4 ""","Black/ Leather, Patent Leather","Authenticity Seal, Authenticity Card, Manual, Shop Seal, Dust Bag",Excellent condition,Excellent condition,-,-,AO20249
CHANEL Quilted  Classic Double Flap Medium Shoulder Bag Black,/collections/chanel/products/ao20246,"348,000",1619032,"W 9.8 x H 6.3 x D 2.4 ""

Strap Drop.(Single) 16.5 ""

Strap Drop.(Double) 9.1 """,Black/ Leather,Authenticity Seal,Good condition,Good condition,-,-,AO20246
CHANEL Mini Hand Bag Silver,/collections/chanel/products/ao20168,"328,000",4752995,"W 6.3  x H 5.5  x D 2.8  ""

Handle Drop. 3.5  """,Silver/ Leather,"Authenticity Seal, Authenticity Card, Shop Seal, Dust Bag, Box",Excellent condition,"Excellent condition

Scratches",-,-,AO20168
CHANEL Quilted Fringe Chain Shoulder Bag Brown,/collections/chanel/products/ao20167,"268,000",-,"W 7.1  x H 4.9  x D 2.8  "" 

Strap Drop. 20.9  """,Brown/ Leather,"Dust Bag, Box",Good condition,Good condition,-,-,AO20167
CHANEL Quilted Fringe Chain Shoulder Bag White,/collections/chanel/products/ao20166,"248,000",2844747,"W 9.1  x H 6.7  x D 2.8  ""

Strap Drop. 20.1  """,White/ Leather,"Authenticity Seal, Authenticity Card",Good condition,There is sign of use overall,-,-,AO20166
CHANEL Quilted Fringe Chain Shoulder Bag Gold,/collections/chanel/products/ao20165,"398,000",1980856,"W 7.1  x H 4.9  x D 2.8  ""

Strap Drop. 20.9  """,Gold/ Leather,"Authenticity Seal, Authenticity Card",Good condition,Good condition,-,-,AO20165
CHANEL Quilted Hand Bag Black,/collections/chanel/products/ao20164,"198,000",9302266,"W 10.6  x H 6.1  x D 3.9  ""

Handle Drop. 3.9  """,Black/ Caviar Skin Leather,"Authenticity Seal, Authenticity Card, Manual, Dust Bag",Excellent condition,Excellent condition,-,-,AO20164
CHANEL Quilted Classic Flap Micro Shoulder Bag Bordeaux,/collections/chanel/products/ao20162,"368,000",5148715,"W 6.1  x H 4.7  x D 1.6  ""

Strap Drop. 20.9  """,Bordeaux/ Velvet,Authenticity Seal,Good condition,"Good condition

Scratches",Pocket: Torn,-,AO20162
CHANEL Quilted Chain Shoulder Bag Beige,/collections/chanel/products/ao20161,"328,000",1768808,"W 8.1  x H 4.9  x D 2.0  ""

Strap Drop. 20.5  """,Beige/ Leather,"Authenticity Seal, Authenticity Card",Excellent condition,Excellent condition,-,-,AO20161
CHANEL Quilted Chain Hand Bag Beige,/collections/chanel/products/ao20157,"268,000",6597290,"W 7.1  x H 5.1  x D 2.0  "" 

Handle Drop. 5.9  """,Beige/ Caviar Skin Leather,"Authenticity Seal,Authenticity Card, Manual",Good condition,Good condition,-,-,AO20157
CHANEL Mademoiselle Classic Single  Flap Medium Shoulder Bag Black Caviar,/collections/chanel/products/ao20149,"458,000",2643652,"W 9.8 x H 5.9 x D 2.8 ""

Strap Drop. 20.5 """,Black/ Caviar Skin Leather,"Authenticity Seal, Dust Bag",Good condition,Good condition,-,-,AO20149
CHANEL Triple CC Chain Shoulder Tote Bag Beige,/collections/chanel/products/ao20144,"198,000",-,"W 14.4 x H 12.2 x D 4.5 ""

Shoulder Drop. 14.2 ""","Beige/ Linen, Leather",-,Good condition,Good condition,-,-,AO20144
CHANEL Quilted Chain Mini Bum Bag Gold,/collections/chanel/products/ao20142,"498,000",2308767(Authenticity Card),"W 3.9 x H 2.8 x D 0.8 ""

Belt Size. 25.2 - 27.2 ""

#28/70",Gold/ Leather,"Authenticity Card, Shop Seal",Excellent condition,Good condition,-,-,AO20142
CHANEL Cosmos Line Chain Bum Bag Black 80/32,/collections/chanel/products/ao20138,"268,000",-,"W 5.5 x H 4.5 x D 1.2 ""

Belt Size. 29.1 - 31.5 ""

#32/80",Black/ Leather,"Shop Seal, Box","Good condition

Holes have been drilled in addition to the belt.",Good condition,-,-,AO20138
CHANEL V-Stitch Fringe Shoulder Bag Bronze,/collections/chanel/products/ao20137,"348,000",1398571,"W 5.1  x H 4.5  x D 2.0  "" 

Strap Drop. 22.8  """,Bronze/ Leather,Authenticity Seal,Good condition,"Good condition

Pocket: Dirt",-,-,AO20137
CHANEL Quilted Hand Bag Black,/collections/chanel/products/ao20129,"228,000",4769756,"W 8.1 x H 7.5 x D 2.8 ""

Handle Drop. 5.9 ""","Black/ Velvet, Satin","Authenticity Seal, Authenticity Card",Good condition,Good condition,-,-,AO20129
CHANEL Quilted Classic Flap Micro Shoulder Bag Gold,/collections/chanel/products/ao20128,"368,000",1783091,"W 5.5 x H 3.9 x D 1.6 ""

Strap Drop. 21.3 """,Gold/ Leather,"Authenticity Seal, Authenticity Card, Dust Bag, Box","Good condition

Scratches","Good condition

Scratches",-,-,AO20128
CHANEL Quilted Classic Single Flap Small Shoulder Bag Black,/collections/chanel/products/ao20122,"268,000",2014685,"W 9.1 x H 5.5 x D 2.8 ""

Strap Drop. 20.5 """,Black/ Leather,"Authenticity Seal, Authenticity Card",Good condition,Good condition,-,-,AO20122
CHANEL Quilted Shoulder Bag Gold,/collections/chanel/products/ao20115,"268,000",4990588,"W 6.1 x H 4.9 x D 2.2 ""

Strap Drop. 19.7 """,Gold/ Leather,"Authenticity Seal, Manual, Shop Seal, Dust Bag",Good condition,There is sign of use overall,-,-,AO20115
CHANEL Paris Limited Chain Shoulder Bag Black,/collections/chanel/products/ao20114,"348,000",26889269,"W 9.6 x H 6.7 x D 2.8 ""

Strap Drop.(Single) 16.1 ""

Strap Drop.(Double) 9.1 """,Black/ Leather,Authenticity Seal,Good condition,Good condition,-,-,AO20114
CHANEL Chain Shoulder Tote Bag Black,/collections/chanel/products/ao20111,"228,000",3640684,"W 16.1 x H 13.0 x D 5.5 ""

Strap Drop. 14.6 """,Black/ Caviar Skin Leather,"Authenticity Card, Authenticity Seal",Excellent condition,Excellent condition,-,-,AO20111
CHANEL Sport Line Pouch Navy,/collections/chanel/products/ao20105,"108,000",12232225,"W 5.1 x H 5.3 x D 2.4 ""","Navy, Black/ Coating Canvas, Leather",Authenticity Seal,Excellent condition,Excellent condition,-,-,AO20105
CHANEL Bias Stitch Fringe Chain Shoulder Bag Brown,/collections/chanel/products/ao20081,"168,000",2936836,"W 7.5 x H 5.1 x D 2.8 ""

Strap Drop. 22.8 ""","Brown/ Suede, Leather","Authenticity Seal, Authenticity Card, Dust Bag",There is sign of use overall,Good condition,-,-,AO20081
CHANEL Quilted Hand Bag Black,/collections/chanel/products/ao20080,"248,000",2998408,"W 10.2 x H 5.9 x D 2.4 ""

Handle Drop. 3.9 """,Black/ Leather,Authenticity Seal,Good condition,"Good condition

Scratches",-,-,AO20080
CHANEL Mademoiselle Classic Single  Flap Medium Shoulder Bag Black,/collections/chanel/products/ao20077,"368,000",2572612,"W 9.8 x H 5.9 x D 2.6 ""

Strap Drop. 21.3 """,Black/ Leather,"Authenticity Seal, Authenticity Card, Dust Bag",Excellent condition,Excellent condition,-,-,AO20077
CHANEL Bias Stitch Fringe Chain Shoulder Bag Brown,/collections/chanel/products/ao20075,"298,000",2935382,"W 9.1 x H 6.7 x D 2.6 ""

Strap Drop. 20.1 ""","Brown/ Suede, Leather","Authenticity Seal, Authenticity Card, Dust Bag, Box",Good condition,Good condition,-,-,AO20075
CHANEL Hand Bag Black,/collections/chanel/products/ao19931,"148,000",5478318,"W 10.2 x H 7.5 x D 3.1 ""

Handle Drop. 5.9 """,Black/ Velvet,"Authenticity Seal, Authenticity Card, Manual, Dust Bag",Good condition,Good condition,-,-,AO19931
CHANEL Chain Hand Tote Bag Green,/collections/chanel/products/ao19928,"198,000",5320217,"W 11.6 x H 9.1 x D 4.3 ""

Handle Drop. 5.1 """,Light Green/ Caviar Skin Leather,"Authenticity Seal, Authenticity Card, Shop Seal, Manual, Dust Bag, Box",Excellent condition,Excellent condition,-,-,AO19928
CHANEL Tortoiseshell Plastic Hand Tote Bag Light Blue,/collections/chanel/products/ao19868,"198,000",4690272,"W 13.4 x H 12.2 x D 5.5 ""

Handle Drop. 2.4 """,Light Blue/ Denim,"Authenticity Seal, Shop Seal, Dust Bag",Good condition,Good condition,-,-,AO19868
CHANEL Quilted Chain Shoulder Bag Bi-Color,/collections/chanel/products/ao19838,"298,000",1496585,"W 9.3 x H 6.7 x D 3.1 ""

Strap Drop. 21.3 ""","Navy, White/ Leather","Authenticity Seal, Authenticity Card, Coin Purse",There is sign of use overall,Good conditiont,-,-,AO19838
CHANEL Chain Basket Shoulder Bag Navy,/collections/chanel/products/ao19837,"898,000",5207544,"W 6.7 x H 7.1 x D 3.1 ""

Strap Drop. 21.7 ""","Indigo, Brown/ Rattan, Denim","Authenticity Seal, Authenticity Card, Manual, Dust Bag",Good condition,Good conditiont,-,-,AO19837
CHANEL Woc Chain Shoulder Wallet White,/collections/chanel/products/ao19836,"198,000", 3907396," W 8.3 x H 4.7 x D 1.6 ""  Strap Drop. 23.6 """, White/ Caviar Skin Leather," Authenticity Seal, Authenticity Card, Shop Seal, Dust Bag, Box", Good condition, Good conditiont  Pocket: Stain, -, -, AO19836
